file,x,y,z-score,stddev,value,clusterIdx,clusterSz
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,229,966,26.14549637885058,4.775411012294908,124.85549132947972,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4866,1082,-6.013955329468205,6.445509428779629,-38.763005780346816,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4972,1083,7.305987619559667,2.061022308318074,15.057803468208135,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4448,1135,-6.995694547417937,4.368500287494435,-30.560693641618514,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,2233,1280,-6.151351723856092,4.821535309475037,-29.658959537572287,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,2948,1286,-6.381757490937564,6.496570518564693,-41.45953757225436,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,3536,1377,-6.950946144555571,4.6402798395120985,-32.25433526011557,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4437,1407,15.303257270535402,4.870510948308536,74.53468208092488,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4922,1553,-6.575196357941488,5.022817534689286,-33.02601156069363,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,1190,1605,-7.441715298970153,4.907890173161775,-36.523121387283254,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,3850,1627,50.4954428089929,4.239093696128077,214.05491329479764,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4968,1742,-8.721273868697919,2.126883437814373,-18.549132947976886,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,2110,1769,138.02340844220925,4.969375710625119,685.8901734104046,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,390,1793,20.671683777110122,4.791676584713827,99.05202312138726,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,1772,1825,37.34651292212264,4.508936722819586,168.39306358381498,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4469,1920,21.174519949803532,4.353853200149743,92.19075144508668,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4715,1958,31.46572240368697,5.168575057339928,162.63294797687865,27,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4716,1958,32.126514528590405,4.520692835103365,145.2341040462428,27,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,3583,2003,-6.285702445162972,5.3070252360673615,-33.35838150289021,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4917,2010,8.360807683882655,4.098395424142149,34.265895953757195,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,1895,2018,-6.653926896205365,4.532071036331846,-30.156069364161795,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,1324,2115,-6.312668572921325,5.537996675798247,-34.95953757225436,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3424.pgm,4517,2136,-6.502646096538564,4.608172961315858,-29.96531791907512,-1,1
